text,hashtag,sentiment,sentiment_score
gang world filled love join journey make love war peace love unity acceptance,love,Positive,0.475
politics video news love presidente international enterate,love,Positive,0.25
giveaway giving away enter follow like post tag share good luck love style beautiful jewelry bracelet fashion,love,Positive,0.6833333333333332
ago divorce dont hate one parent love father taught valuable lesson life divorce legendary hope love,love,Positive,0.3
urging stockpile prescription love push via,love,Positive,0.5
hope everyone wonderful cute love abuse survivor,love,Positive,0.6666666666666666
days love lovely angel park sit bench kitchen sociable affectionate independent nickname wiggle queen adopt today,love,Positive,0.3333333333333333
community wrap great youth winter retreat youth retreat travel winter,travel,Positive,0.8
tall sunset sunset weather sky winter travel cloud nature photo photography,travel,Neutral,0.0
landing flight share travel adventure,travel,Neutral,0.0
travel adventure,travel,Neutral,0.0
dale headstone viaduct follow travel nature wanderlust nature adventure,travel,Neutral,0.0
amazing glacier national park view travel adventure explore calm beautiful,travel,Positive,0.5833333333333334
ready fly style without breaking bank check hilarious guide cost bombardier global dont miss read aviation travel,travel,Positive,0.375
japan travel japan,travel,Neutral,0.0
wonderful travel,travel,Positive,1.0
sterling premium digital white gloss text doge artistic outdoor handmade travel via,travel,Positive,0.1111111111111111
con con total mole travel,travel,Neutral,0.0
exciting journey travel smart financial post well explore nine ingenious ways save money travel turn,travel,Positive,0.25357142857142856
travel industry use link discount,travel,Neutral,0.0
looking car next half term almost upon make sure car hire excess insurance run quote travel,travel,Positive,0.11111111111111112
species fish conservation nature travel,travel,Neutral,0.0
elephant lodge luxury lodge spectacular view point whole queen national park lodge renowned spectacular park lake canada travel tour,travel,Positive,0.4666666666666666
back tower stay platinum status room upgrade travel casino gamble gambling,travel,Neutral,0.0
glistening ice scattered across black sand diamond beach iceland iceland travel,travel,Negative,-0.16666666666666666
aircraft airport spotting plane airplane travel,travel,Neutral,0.0
ago teaching mindfulness retreat beach bali travel,travel,Neutral,0.0
amazing guide travel,travel,Positive,0.6000000000000001
hotel weve reserved space actively exclusively hotel stocks travel learn foreside fund distributor,travel,Negative,-0.13333333333333333
traveling safari travel,travel,Neutral,0.0
hagia travel,travel,Neutral,0.0
anyone ever drake travel favorite,travel,Positive,0.5
week travel pod editor newly list travel,travel,Positive,0.13636363636363635
national day today importance taking time personal benefit across nation,travel,Neutral,0.0
town travel,travel,Neutral,0.0
looking spiffy travel transportation,travel,Neutral,0.0
extremely overwhelming theres much explore definitely need itinerary day days enough worth exploring vacation travel adventure explore,travel,Positive,0.2
deal delta vice basic economy regular economy travel,travel,Neutral,0.0
international partnership corp travel boxing travel boxing boxing,travel,Neutral,0.0
city brimming culture history charm click travel vacation,travel,Neutral,0.0
snaps week eat create eat repeat travel,travel,Neutral,0.0
vol tout suite payer vol travel,travel,Neutral,0.0
return native eating history holiday travel celebration redevelopment,travel,Neutral,0.0
comment photo taken holiday travel vacation,travel,Neutral,0.0
hidden treasure agree romantic hotel love romantic coffee river nature music architecture travel tourist honeymoon hotel beauty photography life,travel,Positive,0.08333333333333334
visiting island activity anyone visiting island click travel vacation,travel,Neutral,0.0
reputation gateway world theres always much happening book plan visit music sports travel art music,travel,Positive,0.2
las las travel,travel,Neutral,0.0
restaurant town coast travel photo,travel,Neutral,0.0
spot ancient agora travel,travel,Neutral,0.0
cliff path end way like coming home travel tourism,travel,Neutral,0.0
deal basic economy regular economy travel,travel,Neutral,0.0
beach travel,travel,Neutral,0.0
famous beautiful person enjoy nights price ocean view room breakfast contact travel therese travel vacation adventure explore beach,travel,Positive,0.5833333333333334
according global air travel booming domestic travel market international travel accelerate break peak travel,travel,Neutral,0.0
para para travel news,travel,Neutral,0.0
indulge day leisure seamless whether solo adventure enjoying quality time weve got needs covered travel industry trip,travel,Positive,0.3
nonstop limited availability travel,travel,Negative,-0.07142857142857142
incredible world video favorite watch full video travel traveling nature trip,travel,Positive,0.5833333333333334
sure many people know uva collectively travel article,travel,Positive,0.5
playa mar sea travel,travel,Neutral,0.0
deal united san vice basic economy regular economy travel,travel,Neutral,0.0
big fur rendezvous known fur week winter event carnival anchorage every year one unique ever seen travel,travel,Positive,0.1875
exploring charm iconic historic whats favorite spot vibrant city whether bustling serene share travel,travel,Positive,0.2916666666666667
rap travel,travel,Neutral,0.0
best small travel vacation,travel,Positive,0.375
travel booking,travel,Neutral,0.0
tourism travel world photography,travel,Neutral,0.0
art painting style vintage inspiration travel,travel,Neutral,0.0
travel,travel,Neutral,0.0
valley covered fresh snow sunset pure magic video travel winter snow church,travel,Positive,0.33809523809523806
market peace new travel buzz,travel,Positive,0.13636363636363635
yes please explore adventure travel,travel,Neutral,0.0
looking beautiful ever working bali everyone wish good luck trip well travel,travel,Positive,0.7749999999999999
trying plane everyone watching travel living airplane aircraft plane pilot,travel,Neutral,0.0
pink sky sunset sunset snowy colorful landscape travel,travel,Positive,0.09999999999999999
view grand mosque know mosque one travel,travel,Positive,0.5
love life gourmet city food travel china,travel,Positive,0.5
ancient timeless courtesy travel,travel,Neutral,0.0
musician tourism travel world photography,travel,Neutral,0.0
check photo sale weathered window shutter weathered pair closed travel,travel,Negative,-0.1
help travel destination offering travel extra money vacation excellent perk time policy travel,travel,Positive,0.5
flair expansion hold year plane supply repayment million government travel flair business,travel,Neutral,0.0
man dispute million worth hostage nightmare fuel anyone traveling bike anyone shipped bike anywhere travel thought back,travel,Positive,0.15
travel travel travel,travel,Neutral,0.0
new post global promotion earn bonus double elite nights news social travel,travel,Positive,0.04242424242424242
deal phoenix basic economy regular economy travel,travel,Neutral,0.0
travel talk twitter first session second session get right time copy paste tweet question right time join discussion fun,travel,Positive,0.22428571428571428
international new plenty international choose travel,travel,Positive,0.04545454545454545
photography nature art travel,travel,Neutral,0.0
check comparison top comes best find travel airport layover,travel,Positive,0.75
missing spring nature tree grow travel,travel,Negative,-0.2
airport efface transfigure aviation voyage travel business,travel,Neutral,0.0
aviation voyage travel,travel,Neutral,0.0
beauty travel bag organizer cosmetic bag beige cosmetic travel bag beige case make bag travel bag organizer bag clear toiletry travel bag organizer,travel,Positive,0.10000000000000002
check young wildlife photograph sale japan monkey travel,travel,Positive,0.025
check photo sale window chateau valley chateau travel,travel,Neutral,0.0
incredible beauty marine music compare variety colors sea beautiful weekend travel,travel,Positive,0.875
coupon code travel,travel,Neutral,0.0
read based country plan visit enhance travel,travel,Neutral,0.0
went hike wife bedridden moment yes baby shush hike travel,travel,Neutral,0.0
art death valley nature photo travel,travel,Neutral,0.0
least times many photo one beach travel joy vacation,travel,Positive,0.3333333333333333
fountain geyser large water clepsydra geyser background lower geyser basin nature wildlife travel photo photography,travel,Positive,0.21428571428571427
great fun day people travel driving,travel,Positive,0.55
war colonial language speaking dead body military commander ambush build amba amnesty rip boss,language,Negative,-0.15000000000000002
come inspire believe geography art discover nature language,language,Neutral,0.0
language learning,language,Neutral,0.0
enjoying interesting inspiring hear actor morning one main consider work giving always language,language,Positive,0.4166666666666667
exciting news profile feature explorer kudos profile life find translation language localization technology,language,Positive,0.3
request share ogham ogham language used encode wisdom alder tree ogham balance inner confidence language culture,language,Neutral,0.0
like indigenous people zero heritage blood language somebody answer,language,Neutral,0.0
post deal faculty collaboration initiative available visit link read language literacy,language,Positive,0.4
racism language stigma cause psychological trauma anxiety depression also stop people getting help need important new report today racial justice mental health,language,Positive,0.1090909090909091
live new life every new language speak know one language live,language,Positive,0.13636363636363635
elephant quiz time think youve got drop answer wondering know check video lesson topic read caption return show quiz language,language,Neutral,0.0
term thin air must lived altitude language linguistics,language,Negative,-0.4
different language,language,Neutral,0.0
still time apply position study language,language,Neutral,0.0
language becoming bridge comprehension language math,language,Positive,0.45
legislation remove faced many state prepared assist regardless language speak translation,language,Positive,0.5
